success,miss,time,range,v_target,m_type,m_intensity,fail_mode,v_final
True,0.74,6.4,2073.13285162392,100.20071146932355,Weaving,3.4996506936710703,Success,288.61131460511547
True,1.96,14.755,4276.293294252226,63.75995877258717,Weaving,4.7842879543039345,Success,151.9121530345366
True,1.44,12.035,2518.7066329201098,75.59239284370447,Virage,6.363408711949591,Success,204.39134690298542
True,1.07,3.73,1000.3408714590728,54.77494466188513,Weaving,3.8284544665457947,Success,295.04315619783324
True,1.5,17.6,3185.3256926852614,74.19381344209933,Virage,5.688857496655704,Success,131.5608969247431
True,1.44,8.535,2374.554178438429,147.46544909522217,Virage,5.043966179478719,Success,284.57747323716274
True,0.59,8.505,2993.68378588188,113.567079146863,Rectiligne,0.0,Success,290.53738870361315
True,1.32,11.54,4048.340073257819,112.82569624756565,Weaving,3.3300744334879395,Success,208.624707562445
False,1178.52,14.35,4160.789895002397,96.46228997470376,Virage,6.868986091085638,Seeker Lost (FOR),150.06321405620025
True,1.81,12.925,3992.856798665398,54.380627565912306,Rectiligne,0.0,Success,168.69948129630475
True,1.24,7.955,2819.2261516452445,75.33137652026174,Rectiligne,0.0,Success,289.0831258656307
True,1.26,13.095,4013.7870514029123,62.447500824438336,Weaving,4.973230822078484,Success,167.9232642857742
True,1.68,13.36,4881.756129418891,142.43104666269636,Weaving,4.908325297370543,Success,164.502747062125
True,0.97,12.92,4200.5357579294905,58.00689110749953,Rectiligne,0.0,Success,178.47424759243432
True,1.65,7.34,2417.5223279737047,54.23551628501295,Rectiligne,0.0,Success,286.78615918627327
True,1.91,5.2,1735.499120336859,57.504116498815925,Rectiligne,0.0,Success,291.0219535419839
True,1.93,9.185,3557.3477351661045,110.75729033208553,Rectiligne,0.0,Success,288.1027885350767
False,1173.32,14.075,4003.3191807808944,106.72446417241196,Virage,7.692941175593338,Seeker Lost (FOR),148.98026936327153
True,1.06,10.805,3933.880123093608,89.803404595245,Rectiligne,0.0,Success,242.12329824895627
True,1.11,10.285,3810.5368676574244,106.1672710759647,Rectiligne,0.0,Success,265.71176711444053
True,0.96,14.11,4983.643004696423,99.1200195254224,Weaving,3.8081707409815895,Success,153.5555696319085
True,0.71,3.09,895.0583349712898,81.95877720999701,Rectiligne,0.0,Success,294.90575863989216
True,0.98,11.725,4510.9925705925,142.7324456723178,Weaving,4.035022980697203,Success,209.08814593891105
True,1.15,5.115,1124.9459241726458,105.4021437259595,Weaving,4.20658773570571,Success,280.4266009564797
True,0.95,8.115,1891.8082288780797,102.56956548303,Weaving,2.295002851644956,Success,281.00135189433206
True,1.6,7.91,2524.8852304834822,137.79601516504118,Virage,3.0917788193128244,Success,287.2412945133664
True,1.25,7.185,2446.7822891688866,62.41611206390122,Rectiligne,0.0,Success,289.67158868071067
True,1.13,8.945,3691.9945963816062,139.49259168211245,Rectiligne,0.0,Success,285.16417285490473
