id,success,miss_distance,flight_time,range_init,target_speed,m_type,m_intensity,failure_mode,v_final
60,True,1.39,6.96,2082.914612023211,145.34303384701064,Weaving,3.6383969292015172,Success,279.9677857662207
61,True,0.88,5.04,1487.3973557964628,83.61295436983823,Virage,2.6601789248140353,Success,284.4928661401019
62,True,0.84,3.23,1074.325087765223,89.40202563397048,Rectiligne,0.0,Success,294.4683869373929
63,True,1.63,3.36,1110.6476925375391,87.91038641881396,Rectiligne,0.0,Success,298.7778467984305
64,True,0.74,6.31,2206.0679700386136,75.22715317823805,Rectiligne,0.0,Success,288.3691064974857
65,True,1.31,14.145,4999.585228291441,128.1233049610895,Weaving,4.848835198147967,Success,154.28755982243155
66,True,1.53,3.72,1185.7205560315567,106.39695819300192,Virage,5.067592393424963,Success,288.0537255739245
67,True,0.62,8.86,3232.6137225091925,131.9301174311085,Rectiligne,0.0,Success,283.11935103190547
68,True,0.91,6.865,1903.8075997761284,89.66544415166274,Rectiligne,0.0,Success,280.20884394574557
69,True,1.41,8.71,3322.5907802047,135.02932390887963,Rectiligne,0.0,Success,288.5850556434401
70,True,1.5,11.72,4021.859058624588,87.05708762180562,Rectiligne,0.0,Success,215.89879685417753
71,True,1.58,12.13,4200.489131405262,113.5585106101446,Weaving,3.306461435023031,Success,202.58153877310332
72,True,1.21,4.71,1715.3707837433037,98.34975038831962,Weaving,2.805186614147676,Success,292.91432564052513
73,True,1.7,2.565,889.9830412505348,96.47084666032318,Rectiligne,0.0,Success,311.91913542088844
74,True,0.93,11.02,4329.287763406066,129.78323568280965,Weaving,4.103551250996604,Success,229.66270419241903
75,False,666.12,60.0,4766.281599996641,98.85778468487874,Virage,4.5836115989638095,Kinetic Exhaustion,0.0951466714789346
76,True,1.91,21.93,4068.1979065954283,119.17871552952019,Virage,3.893041955038099,Success,90.54772900086547
77,True,1.42,6.275,2414.7671571734663,120.2854942185769,Rectiligne,0.0,Success,285.5105531682909
78,True,1.88,3.53,1366.6293205318284,126.2189609484103,Rectiligne,0.0,Success,291.18250992125456
79,True,1.99,11.17,3760.632504918732,78.2998703274955,Rectiligne,0.0,Success,227.77301648890054
80,True,1.47,5.435,1307.4869465843149,77.43113267832673,Virage,4.789669571640777,Success,286.40541335150976
81,False,31.83,51.97,4408.075387683248,107.40642196263323,Virage,2.737454681560327,Ground Collision,101.58937944442407
82,False,58.25,52.32,4734.786185456464,90.07074422519398,Virage,2.2144362971701326,Ground Collision,101.18815288236284
83,True,1.25,11.215,3032.778186880539,61.845156221146155,Virage,5.162963319373677,Success,223.36416550646842
84,True,1.53,7.225,2851.5764080859803,136.016666582618,Rectiligne,0.0,Success,283.9100393224655
85,True,1.95,13.085,3243.3391051030867,70.77879058235513,Virage,2.6282283735235086,Success,174.65617880946155
86,True,1.64,2.575,837.7919100552556,109.38111951195633,Rectiligne,0.0,Success,310.03103658531796
87,True,1.97,21.75,3663.4440114217273,142.39110444825485,Virage,4.644732171413471,Success,90.06797430383094
88,True,0.92,6.235,2413.1253474689524,140.84114452126062,Rectiligne,0.0,Success,291.5991243551952
89,True,1.15,8.54,1884.2531567640465,78.86105883058417,Virage,4.798934739902869,Success,283.6089549308044
90,True,1.33,8.69,2752.124797030665,53.9860784183613,Rectiligne,0.0,Success,290.0308458655491
91,False,69.99,60.0,910.9709898394334,107.51991092199304,Weaving,4.0168447529097175,Maneuver Saturation,118.50450159743355
92,False,20.65,39.26,3903.209736856507,141.60727879267677,Virage,4.539138877816347,Ground Collision,106.6978650915453
93,True,1.85,2.635,910.5908283222223,117.01335095211854,Rectiligne,0.0,Success,310.30753446796933
94,True,1.24,5.015,1796.980079126551,105.00966089717829,Rectiligne,0.0,Success,286.628709056448
95,False,1578.06,60.0,4865.831270638597,148.8119214781754,Virage,3.652990283197286,Kinetic Exhaustion,34.43107126985671
96,True,1.26,10.04,2128.0071161825385,125.9990536061017,Virage,5.710691043377791,Success,282.99876992184744
97,True,1.95,9.56,3642.125131049775,110.8871667081965,Rectiligne,0.0,Success,286.4409613886939
98,True,0.9,7.59,2985.131340741799,141.2929878484168,Rectiligne,0.0,Success,288.31863224779715
99,True,1.68,7.98,2742.6897711823785,77.34248967132743,Weaving,2.731192718225415,Success,288.77349308471975
