success,miss,time,range,v_target,m_type,m_intensity,fail_mode,v_final
True,1.71,12.965,3243.3391051030867,70.77879058235513,Virage,2.9423425602852626,Success,177.46518985373586
True,0.52,2.575,837.7919100552556,109.38111951195633,Rectiligne,0.0,Success,310.0061102013266
True,1.84,16.35,3663.4440114217273,142.39110444825485,Virage,5.967098257120207,Success,129.4537205222306
True,1.07,6.235,2413.1253474689524,140.84114452126062,Rectiligne,0.0,Success,291.5542184734269
True,1.79,8.22,1884.2531567640465,78.86105883058417,Virage,6.198402109854304,Success,282.27894921790573
True,0.94,8.7,2752.124797030665,53.9860784183613,Rectiligne,0.0,Success,290.069068787399
False,71.46,5.84,910.9709898394334,107.51991092199304,Weaving,4.689126337212957,Seeker Lost (FOR),281.1937708298203
False,39.73,18.31,3903.209736856507,141.60727879267677,Virage,5.8087083167245215,Seeker Lost (FOR),89.32974204980223
True,1.32,2.635,910.5908283222223,117.01335095211854,Rectiligne,0.0,Success,310.3172378254771
True,1.18,5.015,1796.980079126551,105.00966089717829,Rectiligne,0.0,Success,286.6480681059079
False,1032.17,21.61,4865.831270638597,148.8119214781754,Virage,4.479485424795929,Seeker Lost (FOR),80.19137406843139
True,1.14,9.795,2128.0071161825385,125.9990536061017,Virage,7.566036565066686,Success,284.32108054717753
True,1.9,9.56,3642.125131049775,110.8871667081965,Rectiligne,0.0,Success,286.4617087131622
True,1.8,7.59,2985.131340741799,141.2929878484168,Rectiligne,0.0,Success,288.30717180236155
True,1.73,7.91,2742.6897711823785,77.34248967132743,Weaving,2.9749236243005535,Success,288.8248092215249
